Unnamed: 0,Name,Discount,Away from Center,Type,Reviews
0,Hotel 8 Hours,,,,
1,The garden hotel,,,,
2,Residence Unicorn,,,,
3,Inno Hostel & Pub Lounge Hongdae,,,,
4,24 Guesthouse Seoul Station,,,,
5,K-Grand Hotel Myeongdong,,,,
6,Jongro Wellbeingtel,,,,
7,Korstay Guesthouse Seoul Station,,,,
8,Nakwon Arcade Sky Motel,,,,
9,Hostel Metro,,,,
10,Novotel Ambassador Seoul Yongsan,,,,
11,Novotel Ambassador Seoul Gangnam,,,,
12,K-POP Residence Myeongdong 1,,,,
13,AC Hotel by Marriott Seoul Gangnam,,,,
14,LOTTE City Hotel Gimpo Airport,,,,
15,"voco Seoul Gangnam, an IHG Hotel",,,,
16,Hause Itaewon,,,,
17,Four Points by Sheraton Seoul Gangnam,,,,
18,Hotel Daewoo Inn,,,,
19,Humanville,,,,
20,ibis Styles Ambassador Seoul Yongsan,,,,
21,Itaewon Inn,,,,
22,Shilla Stay Samsung,,,,
23,"InterContinental Seoul COEX, an IHG Hotel",,,,
24,Andaz Seoul Gangnam,,,,
0,,US$73,,,
1,,US$100,,,
2,,US$155,,,
3,,US$32,,,
4,,US$50,,,
5,,US$61,,,
6,,US$12,,,
7,,US$31,,,
8,,US$39,,,
9,,US$173,,,
10,,US$212,,,
11,,US$43,,,
12,,US$183,,,
13,,US$117,,,
14,,US$204,,,
15,,US$24,,,
16,,US$196,,,
17,,US$45,,,
18,,US$24,,,
19,,US$123,,,
20,,US$33,,,
21,,US$173,,,
22,,US$226,,,
23,,US$268,,,
0,,,Sort by: Top picks for solo travellers,,
1,,,,,
2,,,,,
3,,,300 m from centre,,
4,,,Metro access,,
5,,,68% off,,
6,,,US$227US$73,,
7,,,,,
8,,,,,
9,,,Promoted,,
10,,,1.6 km from centre,,
11,,,Metro access,,
12,,,5% off,,
13,,,US$106US$100,,
14,,,,,
15,,,,,
16,,,,,
17,,,3.8 km from centre,,
18,,,18% off,,
19,,,US$189US$155,,
20,,,,,
21,,,6 km from centre,,
22,,,Metro access,,
23,,,26% off,,
24,,,US$44US$32,,
25,,,,,
26,,,,,
27,,,1.3 km from centre,,
28,,,Metro access,,
29,,,15% off,,
30,,,US$59US$50,,
31,,,,,
32,,,300 m from centre,,
33,,,Metro access,,
34,,,15% off,,
35,,,US$72US$61,,
36,,,,,
37,,,0.9 km from centre,,
38,,,Metro access,,
39,,,,,
40,,,1.9 km from centre,,
41,,,Metro access,,
42,,,50% off,,
43,,,US$61US$31,,
44,,,,,
45,,,1.4 km from centre,,
46,,,Metro access,,
47,,,,,
48,,,4.2 km from centre,,
49,,,Metro access,,
50,,,,,
51,,,,,
52,,,,,
53,,,3.7 km from centre,,
54,,,Metro access,,
55,,,,,
56,,,,,
57,,,,,
58,,,7.6 km from centre,,
59,,,,,
60,,,,,
61,,,450 m from centre,,
62,,,Metro access,,
63,,,31% off,,
64,,,US$63US$43,,
65,,,,,
66,,,,,
67,,,,,
68,,,8.3 km from centre,,
69,,,Metro access,,
70,,,,,
71,,,,,
72,,,,,
73,,,15.7 km from centre,,
74,,,US$121US$117,,
75,,,,,
76,,,,,
77,,,,,
78,,,6.2 km from centre,,
79,,,Metro access,,
80,,,,,
81,,,3.1 km from centre,,
82,,,48% off,,
83,,,US$47US$24,,
84,,,,,
85,,,,,
86,,,6.2 km from centre,,
87,,,,,
88,,,300 m from centre,,
89,,,Metro access,,
90,,,,,
91,,,9.7 km from centre,,
92,,,,,
93,,,,,
94,,,,,
95,,,3.7 km from centre,,
96,,,Metro access,,
97,,,,,
98,,,3.2 km from centre,,
99,,,Metro access,,
100,,,,,
101,,,,,
102,,,9.2 km from centre,,
103,,,Metro access,,
104,,,18% off,,
105,,,US$211US$173,,
106,,,,,
107,,,,,
108,,,,,
109,,,8.6 km from centre,,
110,,,Metro access,,
111,,,,,
112,,,,,
113,,,,,
114,,,5.8 km from centre,,
115,,,Metro access,,
116,,,10% off,,
117,,,US$298US$268,,
118,,,,,
119,,,,,
0,,,,Very good,
1,,,,Fabulous,
2,,,,Superb,
3,,,,Very good,
4,,,,Very good,
5,,,,Review score,
6,,,,Good,
7,,,,Good,
8,,,,Good,
9,,,,Review score,
10,,,,Very good,
11,,,,Very good,
12,,,,Good,
13,,,,Fabulous,
14,,,,Very good,
15,,,,Superb,
16,,,,Good,
17,,,,Good,
18,,,,Good,
19,,,,Good,
20,,,,Good,
21,,,,Good,
22,,,,Good,
23,,,,Fabulous,
24,,,,Fabulous,
0,,,,,999 reviews
1,,,,,49 reviews
2,,,,,67 reviews
3,,,,,262 reviews
4,,,,,134 reviews
5,,,,,129 reviews
6,,,,,140 reviews
7,,,,,153 reviews
8,,,,,5 reviews
9,,,,,46 reviews
10,,,,,"1,083 reviews"
11,,,,,335 reviews
12,,,,,142 reviews
13,,,,,139 reviews
14,,,,,974 reviews
15,,,,,113 reviews
16,,,,,439 reviews
17,,,,,472 reviews
18,,,,,43 reviews
19,,,,,76 reviews
20,,,,,697 reviews
21,,,,,237 reviews
22,,,,,782 reviews
23,,,,,"1,135 reviews"
24,,,,,405 reviews
