,Name
0,Hotel 8 Hours
1,The garden hotel
2,Residence Unicorn
3,Inno Hostel & Pub Lounge Hongdae
4,24 Guesthouse Seoul Station
5,K-Grand Hotel Myeongdong
6,Jongro Wellbeingtel
7,Korstay Guesthouse Seoul Station
8,Nakwon Arcade Sky Motel
9,Hostel Metro
10,Novotel Ambassador Seoul Yongsan
11,Novotel Ambassador Seoul Gangnam
12,K-POP Residence Myeongdong 1
13,AC Hotel by Marriott Seoul Gangnam
14,LOTTE City Hotel Gimpo Airport
15,"voco Seoul Gangnam, an IHG Hotel"
16,Hause Itaewon
17,Four Points by Sheraton Seoul Gangnam
18,Hotel Daewoo Inn
19,Humanville
20,ibis Styles Ambassador Seoul Yongsan
21,Itaewon Inn
22,Shilla Stay Samsung
23,"InterContinental Seoul COEX, an IHG Hotel"
24,Andaz Seoul Gangnam
